equipacasa,goloscasa,golosfora,equipafora,funcao,escalao,competicao,amareloscasa,amarelosfora,vermelhoscasa,vermelhosfora,penaltyscasa,penaltysfora,compensacao1p,compensacao2p
martim,0,3,paradadetibaes,a,juvenis,taça,1,3,0,0,0,0,3,10
roriz,2,5,prado,a,juvenis,1div,0,1,0,0,1,0,1,2
roriz,0,0,fao,a,juniores,2div,2,2,0,0,0,0,1,6
carreira,3,3,vilacha,aa,juvenis,2div,2,7,0,2,1,0,3,15
pedrafurada,1,1,santaeugenia,aa,popular,2div,3,6,0,0,0,0,4,6
gondizalves,1,3,esposende,aa,juvenis,honra,0,4,0,0,0,0,3,5
perelhal,1,7,tadim,aa,juvenis,2div,0,0,0,0,1,1,0,0
ucha,3,5,alvelos,a,juniores,2div,3,2,0,0,0,0,2,10
creixomil,1,4,estrelas,aa,popular,2div,0,0,2,0,1,1,4,10
forjaes,1,6,vilacha,aa,juvenis,2div,2,1,0,0,0,0,3,0
roriz,0,6,amares,a,juvenis,1div,2,0,0,0,0,1,1,0
vilacha,3,3,palmeiras,a,iniciados,2div,3,0,0,0,0,0,2,6
sequeirense,0,3,granja,aa,juniores,2div,8,6,1,0,0,0,4,7
alvelos,2,0,apulia,a,juniores,2div,3,1,0,0,0,0,2,7
gandra,0,2,marinhas,aa,iniciados,2div,0,1,0,0,0,0,1,4
ruivanense,8,1,joane,a,iniciados,2div,0,2,0,0,1,0,1,1
pousa,4,5,saoverissimo,a,benjamins,f7,1,0,0,0,0,1,2,1
perelhal,1,1,marca,a,benjamins,f7,0,1,0,0,0,0,0,1
perelhal,1,12,braga,a,infantis,f9,0,0,0,0,0,1,0,2
viatodos,1,4,aveleda,aa,iniciados,2div,1,0,0,0,0,0,0,4
saoverissimo,9,0,ucha,a,iniciados,2div,0,0,0,0,0,0,0,0
fao,3,1,sequeirense,aa,juniores,2div,2,4,0,1,0,0,1,5
merelinense,4,0,aroes,aa,juvenis,taça,1,1,0,0,0,0,1,5
marca,4,2,brito,a,juniores,taça,4,0,0,0,0,0,2,7
ucha,0,10,aveleda,a,benjamins,f7,0,0,0,0,0,0,0,1
ucha,2,5,apulia,aa,juniores,2div,4,4,0,0,1,0,3,7
santamaria,6,0,sequeirense,aa,juniores,2div,1,1,0,0,0,0,2,2
martim,1,12,aveleda,a,benjamins,f7,0,0,0,0,0,0,0,0
viatodos,5,1,granja,a,juvenis,2div,2,2,1,1,1,0,8,3
pousa,3,0,ases,a,iniciados,f9,0,0,0,0,0,0,0,0
viatodos,4,3,varzea,a,infantis,f7,0,0,0,0,0,0,2,2
delaes,1,4,saocosme,a,iniciados,2div,1,2,0,1,0,0,1,3
ucha,1,1,martim,aa,juvenis,2div,3,3,1,0,0,0,3,6
saoverissimo,1,1,roriz,aa,iniciados,2div,2,4,0,1,0,0,1,6
perelhal,2,2,forjaes,a,juvenis,2div,1,2,0,0,0,0,2,5
carreira,5,1,adaufe,a,iniciados,1div,1,1,0,0,1,0,1,0
ceramistas,1,4,sequeirense,aa,iniciados,2div,3,1,1,0,0,0,1,2
ucha,4,3,vilaverdense,a,benjamins,f7,0,0,0,0,0,0,0,2
famalicao,2,1,operario,a,infantis,f9,0,0,0,0,0,0,0,3
famalicao,4,3,ferreirense,a,femsub17,f9,0,0,0,0,0,1,2,2
alvelos,4,4,marinhas,a,benjamins,f7,0,0,0,0,0,0,2,2
alvelos,0,2,santamaria,a,infantis,f9,1,1,0,0,0,0,0,1
gandra,4,1,paradadetibaes,a,infantis,f7,0,0,0,0,0,0,1,0
santamaria,9,0,forjaes,a,benjamins,f7,0,0,0,0,0,0,1,0
forjaes,0,8,viatodos,aa,juvenis,2div,2,1,0,0,0,1,0,0
granja,5,5,esposende,a,infantis,f7,0,0,0,0,0,0,0,3
gilvicente,1,1,freiriz,aa,iniciados,1div,1,0,0,0,0,0,1,4
martim,3,3,gilvicente,a,infantis,f7,0,0,0,0,0,0,1,5
cavado,4,1,gandra,a,benjamins,f7,0,0,0,0,0,0,0,1
figueiredo,2,0,saoclaudio,aa,seniores,1div,2,3,0,0,0,0,3,8
pereira,1,9,esposende,a,benjamins,f7,0,0,0,0,0,0,1,0
roriz,1,0,granja,a,juniores,2div,4,4,1,1,0,0,5,7
santamaria,1,3,apulia,a,infantis,f9,0,0,0,0,0,0,1,3
marinhas,3,0,merelinense,a,iniciados,honra,1,1,0,0,0,0,1,0
granja,0,11,vilaverdense,a,benjamins,f7,0,0,0,0,0,0,1,1
gandra,8,0,cristelo,a,benjamins,f7,0,0,0,0,0,0,0,1
pousa,3,9,ceramistas,a,infantis,f7,0,0,0,0,0,0,1,1
marinhas,5,2,forjaes,aa,iniciados,2div,2,6,0,3,0,0,1,3
carreira,2,2,freiriz,a,juniores,1div,5,5,1,1,0,0,3,8
cavado,4,0,perelhal,a,benjamins,f7,0,0,0,0,0,0,2,2
granja,0,5,alvelos,a,infantis,f7,0,0,0,0,0,0,0,0
saoverissimo,3,1,ucha,a,juvenis,2div,4,3,2,2,0,0,1,7
gilvicente,1,6,apulia,a,infantis,f7,0,0,0,0,0,0,0,0
gilvicente,4,1,forjaes,a,benjamins,f7,0,0,0,0,0,1,0,1
santamaria,8,3,marinhas,a,benjamins,f7,0,0,0,0,0,0,1,1
forjaes,0,8,fao,a,iniciados,2div,3,1,1,0,0,1,0,1
famalicao,1,4,fradelos,a,iniciados,2div,1,1,0,0,0,0,1,2
